country,operating_system,resource_class,resource_name,vcpus,ram,price_per_hour,price_per_month,price_per_spot,currency,is_gpu,is_spot,resource,resource_type,region,flavor_id,gpu_description,is_public,price_per_half_year,price_per_year
usa,windows,a100,W.N.A100.96,16,96,224.66,102500,157.262,INR,1,0,instances,gpu,atlanta,00cc2a6e-80b3-4277-b6da-f825dcc4d111,1x A100-80GB,1,615000.0,1230000.0
usa,windows,a100,W.N.A100.128,16,128,182.5821918,115900,127.8076,INR,1,0,instances,gpu,atlanta,c6867349-8152-4176-98b1-90f2a54fdc58,1x A100,1,695400.0,1390800.0
usa,windows,a100,W.N.A100.192,32,192,449.32,205000,314.524,INR,1,0,instances,gpu,atlanta,,2x A100-80GB,1,1230000.0,2460000.0
usa,windows,a30,W.N.A30.32,8,32,71.59931507,45450,23.6278,INR,1,1,instances,gpu,atlanta,b0b0a1ef-ac7b-4da9-8270-6a638afe3d1a,1x A30,1,272700.0,545400.0
usa,windows,a30,W.N.A30.64,16,64,143.1986301,90900,47.2556,INR,1,1,instances,gpu,atlanta,39e2d9fd-8d6d-462f-8856-fa4524276dfe,2x A30,1,545400.0,1090800.0
usa,windows,a2,W.N.A2.16,8,16,21.06,12300,4.212,INR,1,1,instances,gpu,atlanta,2b29f5ec-cd07-4364-8dcc-10dfff0f2ee5,1x A2-16GB,1,73800.0,147600.0
usa,windows,a2,W.N.A2.32,8,32,26.30821918,16700,5.2617,INR,1,1,instances,gpu,atlanta,5571af2d-bf14-437a-aba2-a7f29ea78127,1x A2,1,100200.0,200400.0
usa,windows,rtx a6000,W.N.RTXA6000.64,16,64,79.20034247,50275,79.2004,INR,1,0,instances,gpu,atlanta,,1x RTX A6000,1,301650.0,603300.0
usa,windows,rtx a6000,W.N.RTXA6000.128,24,128,86.80136986,55100,86.8014,INR,1,0,instances,gpu,atlanta,,1x RTX A6000,1,330600.0,661200.0
usa,windows,rtx a6000,W.N.RTXA6000.192,32,192,168.2465753,106800,168.2466,INR,1,0,instances,gpu,atlanta,,2x RTX A6000,1,640800.0,1281600.0
usa,windows,rtxada,W.N.RTX6000ADA.64,8,64,141.53,73800,141.53,INR,1,0,instances,gpu,atlanta,,1x RTX6000 Ada - 48GB,1,442800.0,885600.0
usa,windows,rtxada,W.N.RTX6000ADA.128,16,128,157.26,82000,157.26,INR,1,0,instances,gpu,atlanta,,1x RTX6000 Ada - 48GB,1,492000.0,984000.0
usa,windows,rtx8000,W.N.RTX8000.128,16,128,102.22,53300,30.666,INR,1,1,instances,gpu,atlanta,,1x RTX8000 - 48 GB,1,319800.0,639600.0
usa,windows,rtx8000,W.N.RTX8000.256,32,256,204.44,106600,61.332,INR,1,1,instances,gpu,atlanta,,2x RTX8000 - 48 GB,1,639600.0,1279200.0
usa,windows,rtx8000,W.N.RTX8000.512,64,512,408.88,213200,122.664,INR,1,1,instances,gpu,atlanta,,4x RTX8000 - 48 GB,1,1279200.0,2558400.0
usa,windows,rtx4090,W.N.RTX4090.32,4,32,55.04,28700,55.04,INR,1,0,instances,gpu,atlanta,,1x RTX4090 - 24GB,1,172200.0,344400.0
usa,windows,l4,W.N.L4.16,4,16,51.11,26650,51.11,INR,1,0,instances,gpu,atlanta,,1x L4 - 24 GB,1,159900.0,319800.0
usa,windows,l4,W.N.L4.64,16,64,59.50856164,37775,59.5086,INR,1,0,instances,gpu,atlanta,,1x L4,1,226650.0,453300.0
usa,windows,l4,W.N.L4.96,24,96,112.4006849,71350,112.4007,INR,1,0,instances,gpu,atlanta,,2x L4,1,428100.0,856200.0
usa,windows,l4,W.N.L4.128,32,128,119.0171233,75550,119.0172,INR,1,0,instances,gpu,atlanta,,2x L4,1,453300.0,906600.0
usa,windows,l40s,W.N.L40S.48,16,48,219.04,106600,219.04,INR,1,0,instances,gpu,atlanta,,1x L40s - 48 GB,1,639600.0,1279200.0
usa,windows,l40s,W.N.L40S.96,32,96,438.08,213200,438.08,INR,1,0,instances,gpu,atlanta,,2x L40s - 48 GB,1,1279200.0,2558400.0
usa,windows,l40s,W.N.L40S.192,24,192,176.3989726,111975,176.399,INR,1,0,instances,gpu,atlanta,,2x L40s,1,671850.0,1343700.0
usa,linux,a100,N.A100.96,16,96,215.67,98400,150.969,INR,1,0,instances,gpu,atlanta,69f5672d-c55a-481f-a46c-224c624ad6cf,,1,590400.0,1180800.0
usa,linux,a100,N.A100.128,16,128,177.2260274,112500,124.0583,INR,1,0,instances,gpu,atlanta,a6812bd1-b32c-4c94-aaa5-071c826db7c5,1x A100,1,675000.0,1350000.0
usa,linux,a100,N.A100.192,32,192,431.34,196800,301.938,INR,1,0,instances,gpu,atlanta,,,1,1180800.0,2361600.0
usa,linux,a30,N.A30.32,8,32,68.92123288,43750,22.7441,INR,1,1,instances,gpu,atlanta,ef786937-4a70-494b-bb98-bbba7d02e071,1x A30,1,262500.0,525000.0
usa,linux,a30,N.A30.64,16,64,137.8424658,87500,45.4881,INR,1,1,instances,gpu,atlanta,ec640679-8d51-4457-a1c0-e0dd921f7961,2x A30,1,525000.0,1050000.0
usa,linux,a2,N.A2.16,8,16,18.25,10660,3.65,INR,1,1,instances,gpu,atlanta,0698f124-f730-4783-ab54-ec5cbec12194,,1,63960.0,127920.0
usa,linux,a2,N.A2.32,8,32,23.63013699,15000,4.7261,INR,1,1,instances,gpu,atlanta,8a9d61d8-48b0-42a9-83b7-516467ca49dc,1x A2,1,90000.0,180000.0
usa,linux,rtx a6000,N.RTXA6000.64,16,64,73.84417808,46875,73.8442,INR,1,0,instances,gpu,atlanta,,1x RTX A6000,1,281250.0,562500.0
usa,linux,rtx a6000,N.RTXA6000.128,24,128,78.76712329,50000,78.7672,INR,1,0,instances,gpu,atlanta,,1x RTX A6000,1,300000.0,600000.0
usa,linux,rtx a6000,N.RTXA6000.192,32,192,157.5342466,100000,157.5343,INR,1,0,instances,gpu,atlanta,,2x RTX A6000,1,600000.0,1200000.0
usa,linux,rtxada,N.RTX6000ADA.64,8,64,133.67,69700,133.67,INR,1,0,instances,gpu,atlanta,,,1,418200.0,836400.0
usa,linux,rtxada,N.RTX6000ADA.128,16,128,149.4,77900,149.4,INR,1,0,instances,gpu,atlanta,,,1,467400.0,934800.0
usa,linux,rtx8000,N.RTX8000.128,16,128,94.36,49200,28.308,INR,1,1,instances,gpu,atlanta,,,1,295200.0,590400.0
usa,linux,rtx8000,N.RTX8000.256,32,256,188.71,98400,56.613,INR,1,1,instances,gpu,atlanta,,,1,590400.0,1180800.0
